metric_family,node_metric,outcome,kind,min,average,sum,product,r_range_trio,r_range_all
Clustering (weighted),valued_involvement,xg_against,raw,-0.02,-0.03,-0.03,-0.06,0.00837345443031496,0.03810861336778432
Clustering (weighted),valued_involvement,xg_against,partial,-0.04,-0.03,-0.03,-0.09,0.015594976624222524,0.057432680462367686
Freeman Centralization (weighted),valued_involvement,goals_against,raw,+0.13,+0.13,+0.13,+0.10,8.693053410557816e-06,0.03136987512270041
Freeman Centralization (weighted),valued_involvement,goals_against,partial,+0.14,+0.13,+0.13,+0.11,0.00837140851516699,0.023472242690502007
Freeman Centralization (weighted),valued_involvement,shots_against,raw,-0.01,-0.04,-0.04,+0.01,0.02146444729117855,0.04900462576019339
Freeman Centralization (weighted),valued_involvement,shots_against,partial,-0.01,-0.06,-0.06,+0.04,0.04691128356420626,0.10000917587038256
Freeman Centralization (weighted),valued_involvement,xg_against,raw,+0.02,-0.00,-0.00,+0.06,0.016854502800323325,0.06535734900345563
Freeman Centralization (weighted),valued_involvement,xg_against,partial,+0.02,-0.01,-0.01,+0.08,0.031455195495661295,0.09567307293386602
Total Strength,valued_contribution,goals_against,raw,+0.12,+0.15,+0.15,-0.00,0.02200635103402783,0.15027577881192636
Total Strength,valued_contribution,goals_against,partial,+0.05,+0.07,+0.07,-0.01,0.019552770189383596,0.08243574676583403
Total Strength,valued_contribution,shots_against,raw,+0.39***,+0.40***,+0.40***,+0.11,0.010720154820288152,0.29024723189754326
Total Strength,valued_contribution,shots_against,partial,+0.24**,+0.24**,+0.24**,+0.10,0.0004690591661656862,0.1393475215917726
Total Strength,valued_contribution,xg_against,raw,+0.33***,+0.34***,+0.34***,+0.11,0.01480969029978979,0.23710859664723338
Total Strength,valued_contribution,xg_against,partial,+0.24**,+0.25**,+0.25**,+0.10,0.010967198432574793,0.14851089850380422
Gini (strength inequality),valued_contribution,goals_against,raw,+0.01,+0.04,+0.04,+0.11,0.03050094131449644,0.10134566281067292
Gini (strength inequality),valued_contribution,goals_against,partial,+0.03,+0.06,+0.06,+0.14,0.028739929037360112,0.10371715524009367
Gini (strength inequality),valued_contribution,shots_against,raw,-0.10,-0.07,-0.07,-0.14,0.02668457613642093,0.06766622642570312
Gini (strength inequality),valued_contribution,shots_against,partial,-0.06,-0.03,-0.03,-0.10,0.023525534033910014,0.06941512188748426
Gini (strength inequality),valued_contribution,xg_against,raw,-0.07,-0.04,-0.04,-0.10,0.02449621561798302,0.057542932956738284
Gini (strength inequality),valued_contribution,xg_against,partial,-0.04,-0.01,-0.01,-0.07,0.02184830751556098,0.05650424432078552
Clustering (weighted),valued_contribution,goals_against,raw,-0.05,-0.08,-0.08,-0.12,0.03297252234718086,0.07733750974870056
Clustering (weighted),valued_contribution,goals_against,partial,-0.06,-0.09,-0.09,-0.14,0.023654338700020996,0.07798331463337368
Clustering (weighted),valued_contribution,shots_against,raw,+0.05,-0.03,-0.03,+0.10,0.08027014447554315,0.13839955459688041
Clustering (weighted),valued_contribution,shots_against,partial,+0.01,-0.05,-0.05,+0.08,0.06321177539071815,0.13037725045309928
Clustering (weighted),valued_contribution,xg_against,raw,+0.08,+0.02,+0.02,+0.14,0.05566199153661203,0.11389588331176956
Clustering (weighted),valued_contribution,xg_against,partial,+0.06,+0.01,+0.01,+0.12,0.042368900280487086,0.10460684335754267
Freeman Centralization (weighted),valued_contribution,goals_against,raw,-0.03,-0.00,-0.00,+0.12,0.02456574915280726,0.14934959289988964
Freeman Centralization (weighted),valued_contribution,goals_against,partial,-0.01,+0.01,+0.01,+0.13,0.02494034113593487,0.1424194853103083
Freeman Centralization (weighted),valued_contribution,shots_against,raw,-0.18*,-0.18*,-0.18*,-0.10,0.001261229731757324,0.07337873137149216
Freeman Centralization (weighted),valued_contribution,shots_against,partial,-0.16,-0.16,-0.16,-0.10,0.0016941452574647242,0.05684977455179323
Freeman Centralization (weighted),valued_contribution,xg_against,raw,-0.14,-0.16,-0.16,-0.10,0.01239625560443941,0.05789053367315625
Freeman Centralization (weighted),valued_contribution,xg_against,partial,-0.13,-0.14,-0.14,-0.09,0.013143135564171848,0.04547775390196526
Total Strength,valued_fault,goals_against,raw,+0.14,+0.14,+0.14,+0.05,0.001743062441841997,0.09508906928433505
Total Strength,valued_fault,goals_against,partial,+0.06,+0.06,+0.06,+0.03,0.004215907170798748,0.03412551569465296
Total Strength,valued_fault,shots_against,raw,+0.53***,+0.54***,+0.54***,+0.29***,0.010108363090742145,0.24738141560257781
Total Strength,valued_fault,shots_against,partial,+0.38***,+0.39***,+0.39***,+0.25**,0.009815887166517212,0.13668235797081174
Total Strength,valued_fault,xg_against,raw,+0.34***,+0.35***,+0.35***,+0.14,0.014276093292322822,0.21183873283422094
Total Strength,valued_fault,xg_against,partial,+0.23**,+0.24**,+0.24**,+0.10,0.015558919555159867,0.13867979407404013
Gini (strength inequality),valued_fault,goals_against,raw,+0.13,+0.11,+0.11,+0.11,0.01590262228751496,0.01642406036305942
Gini (strength inequality),valued_fault,goals_against,partial,+0.12,+0.10,+0.10,+0.11,0.02065924512481941,0.02065924512481941
Gini (strength inequality),valued_fault,shots_against,raw,+0.09,+0.08,+0.08,+0.14,0.008651703981197065,0.061650845697373474
Gini (strength inequality),valued_fault,shots_against,partial,+0.07,+0.05,+0.05,+0.15,0.022162601833251985,0.09853959655144799
Gini (strength inequality),valued_fault,xg_against,raw,+0.08,+0.08,+0.08,+0.13,0.005915564314921573,0.05674015282851011
Gini (strength inequality),valued_fault,xg_against,partial,+0.06,+0.06,+0.06,+0.13,0.001331415984491574,0.07096224988395043
Clustering (weighted),valued_fault,goals_against,raw,-0.11,-0.11,-0.11,-0.09,0.005595021442584697,0.021122051201657804
Clustering (weighted),valued_fault,goals_against,partial,-0.11,-0.10,-0.10,-0.10,0.009860209862358527,0.013072795725346323
Clustering (weighted),valued_fault,shots_against,raw,+0.05,+0.02,+0.02,-0.07,0.029010249071740622,0.11628425529317599
Clustering (weighted),valued_fault,shots_against,partial,+0.05,+0.06,+0.06,-0.09,0.010899412082589391,0.14776914905537442
Clustering (weighted),valued_fault,xg_against,raw,-0.03,-0.06,-0.06,-0.09,0.027025937732834508,0.057891381120635424
Clustering (weighted),valued_fault,xg_against,partial,-0.04,-0.04,-0.04,-0.10,0.002317385495871453,0.06481217646204615
Freeman Centralization (weighted),valued_fault,goals_against,raw,+0.16,+0.13,+0.13,+0.13,0.032865054049534936,0.03546938436405239
Freeman Centralization (weighted),valued_fault,goals_against,partial,+0.16,+0.12,+0.12,+0.13,0.043455750217077566,0.043455750217077566
Freeman Centralization (weighted),valued_fault,shots_against,raw,+0.03,-0.00,-0.00,+0.09,0.032237154753842076,0.09017779647772065
Freeman Centralization (weighted),valued_fault,shots_against,partial,+0.03,-0.04,-0.04,+0.12,0.0641456204643898,0.15233870599623028
Freeman Centralization (weighted),valued_fault,xg_against,raw,+0.08,+0.05,+0.05,+0.16,0.02528013429861356,0.11103373441732525
Freeman Centralization (weighted),valued_fault,xg_against,partial,+0.08,+0.03,+0.03,+0.18*,0.04327576862103945,0.14704546882496705
