metric,metric_family,node_metric,outcome,kind,min,min_sig,average,average_sig,sum,sum_sig,product,product_sig,r_range_trio,r_range_all,sig_flip_trio,sign_flip_trio
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,xg_against,raw,-0.02439586820603986,,-0.03276932263635482,,-0.03276927002466708,,-0.06250448157382418,,0.00837345443031496,0.03810861336778432,False,False
valued_involvement_cc_weighted,Clustering (weighted),valued_involvement,xg_against,partial,-0.04353559833503055,,-0.027940625874319086,,-0.027940621710808022,,-0.08537330217317571,,0.015594976624222524,0.057432680462367686,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,goals_against,raw,0.13120666714646584,,0.1312153601998764,,0.1312153580739378,,0.09984548507717599,,8.693053410557816e-06,0.03136987512270041,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,goals_against,partial,0.13522631175876132,,0.126854906648881,,0.12685490324359433,,0.11175406906825931,,0.00837140851516699,0.023472242690502007,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,shots_against,raw,-0.013641209640377294,,-0.035105656381647365,,-0.035105656931555845,,0.013898968828637545,,0.02146444729117855,0.04900462576019339,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,shots_against,partial,-0.010089677024286432,,-0.05700095649669469,,-0.057000960588492695,,0.04300821528188987,,0.04691128356420626,0.10000917587038256,False,False
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,xg_against,raw,0.015960052721219954,,-0.000894449003650875,,-0.0008944500791033712,,0.06446289892435227,,0.016854502800323325,0.06535734900345563,False,True
valued_involvement_centralization_weighted,Freeman Centralization (weighted),valued_involvement,xg_against,partial,0.019734187606513357,,-0.011721004671579799,,-0.011721007889147941,,0.08395206504471808,,0.031455195495661295,0.09567307293386602,False,True
valued_contribution,Total Strength,valued_contribution,goals_against,raw,0.12378417579278357,,0.1457905268268114,,0.1457905237616524,,-0.0044852519851149505,,0.02200635103402783,0.15027577881192636,False,False
valued_contribution,Total Strength,valued_contribution,goals_against,partial,0.04981518082975921,,0.06936795101914281,,0.06936794729888617,,-0.013067795746691214,,0.019552770189383596,0.08243574676583403,False,False
valued_contribution,Total Strength,valued_contribution,shots_against,raw,0.3910967992982208,***,0.4018169536975018,***,0.40181695411850893,***,0.11156972222096567,,0.010720154820288152,0.29024723189754326,False,False
