match_id,defending_team,home_away,defender_id,defender_name,overall_n,overall_avg_x,overall_avg_y,raw_involvement_n,raw_involvement_avg_x,raw_involvement_avg_y,raw_contribution_n,raw_contribution_avg_x,raw_contribution_avg_y,raw_fault_n,raw_fault_avg_x,raw_fault_avg_y,valued_involvement_n,valued_involvement_avg_x,valued_involvement_avg_y,valued_contribution_n,valued_contribution_avg_x,valued_contribution_avg_y,valued_fault_n,valued_fault_avg_x,valued_fault_avg_y
10515,374,away,1938,Hakim Ziyech,172,-2.367866279,15.60331977,49,1.09622449,17.9095102,23,6.201565217,20.59982609,26,-3.420038462,15.52961538,47,0.440340426,17.78576596,23,6.201565217,20.59982609,24,-5.080833333,15.08895833
10515,374,away,233,Romain Saïss,42,16.59783333,-3.07602381,7,18.47442857,-0.718,3,23.34033333,1.066,4,14.825,-2.056,7,18.47442857,-0.718,3,23.34033333,1.066,4,14.825,-2.056
10515,374,away,401,Sofiane Boufal,116,-2.755862069,-18.21640517,45,-1.097444444,-21.28311111,14,-0.859357143,-21.45092857,31,-1.204967742,-21.20732258,45,-1.097444444,-21.28311111,14,-0.859357143,-21.45092857,31,-1.204967742,-21.20732258
10515,374,away,4324,Azzedine Ounahi,172,-0.383994186,-0.752947674,61,2.06942623,-3.407295082,22,6.947,-1.016272727,39,-0.682025641,-4.756076923,59,1.532389831,-3.895847458,22,6.947,-1.016272727,37,-1.687108108,-5.608027027
10515,374,away,8027,Noussair Mazraoui,83,10.21072289,-21.93291566,19,7.081789474,-25.45152632,6,9.325666667,-21.93316667,13,6.046153846,-27.07538462,19,7.081789474,-25.45152632,6,9.325666667,-21.93316667,13,6.046153846,-27.07538462
10515,374,away,9820,Achraf Dari,172,13.94137209,5.499418605,22,12.7765,9.414454545,12,10.54016667,7.137916667,10,15.4601,12.1463,22,12.7765,9.414454545,12,10.54016667,7.137916667,10,15.4601,12.1463
10515,374,away,9865,Zakaria Aboukhlal,56,-9.693714286,-3.249625,16,-15.0550625,-4.6600625,7,-17.34514286,-4.221285714,9,-13.27388889,-5.001333333,16,-15.0550625,-4.6600625,7,-17.34514286,-4.221285714,9,-13.27388889,-5.001333333
10516,371,home,100,Mateo Kovacic,198,-1.491914141,9.172782828,60,-6.75425,13.60363333,24,-7.623708333,15.47704167,36,-6.174611111,12.35469444,59,-6.55559322,13.4090339,24,-7.623708333,15.47704167,35,-5.823171429,11.99097143
10516,371,home,13854,Dominik Livakovic,198,-37.32393939,0.624267677,,,,,,,,,,,,,,,,,,
10516,371,home,13856,Josip Sutalo,198,-11.95223737,-2.436252525,11,-13.68136364,-12.12681818,3,-11.81033333,-5.298666667,8,-14.383,-14.687375,11,-13.68136364,-12.12681818,3,-11.81033333,-5.298666667,8,-14.383,-14.687375
