player_name,team,mins_played
Carlos Henrique Casimiro,Brazil,410
Alisson Ramsés Becker,Brazil,396
Rúben Santos Gato Alves Dias,Portugal,392
Kamil Glik,Poland,389
Matty Cash,Poland,389
Robert Lewandowski,Poland,389
Wojciech Szczęsny,Poland,389
Matthew Charles Turner,United States,389
Tyler Adams,United States,389
Tim Ream,United States,389
Kléper Laveran Lima Ferreira,Portugal,388
Daniel Olmo Carvajal,Spain,387
Mathew Ryan,Australia,386
Aaron Mooy,Australia,386
Aziz Eraltay Behich,Australia,386
Harry Souttar,Australia,386
Kye Rowles,Australia,386
Youssouf Sabaly,Senegal,386
Kalidou Koulibaly,Senegal,386
Edouard Mendy,Senegal,386
Heung-Min Son,South Korea,386
Seung-Gyu Kim,South Korea,386
Moon-Hwan Kim,South Korea,386
Granit Xhaka,Switzerland,385
Manuel Obafemi Akanji,Switzerland,385
Bruno Miguel Borges Fernandes,Portugal,384
Antonee Robinson,United States,384
Éder Gabriel Militão,Brazil,382
Bernardo Mota Veiga de Carvalho e Silva,Portugal,380
Sergio Busquets i Burgos,Spain,380
Ricardo Iván Rodríguez Araya,Switzerland,378
Jakub Piotr Kiwior,Poland,376
Noussair Mazraoui,Morocco,374
Jackson Irvine,Australia,373
Pedro González López,Spain,373
Young-Gwon Kim,South Korea,370
Nayef Aguerd,Morocco,368
Bartosz Bereszyński,Poland,365
Nicolás Alejandro Tagliafico,Argentina,364
Ismaïla Sarr,Senegal,363
Yunus Dimoara Musah,United States,363
Marcos Javier Acuña,Argentina,358
In-Beom Hwang,South Korea,357
Lisandro Martínez,Argentina,350
Junya Ito,Japan,349
Abdou Diallo,Senegal,347
Grzegorz Krychowiak,Poland,346
Remo Freuler,Switzerland,344
João Pedro Cavaco Cancelo,Portugal,344
Piotr Zieliński,Poland,344
Mathew Leckie,Australia,340
João Félix Sequeira,Portugal,339
Jin-Su Kim,South Korea,338
Lucas Tolentino Coelho de Lima,Brazil,337
Daichi Kamada,Japan,335
Christian Pulisic,United States,335
Ibrahima Konaté,France,331
Boulaye Dia,Senegal,329
Wataru Endo,Japan,329
Breel-Donald Embolo,Switzerland,328
Raphael Dias Belloli,Brazil,328
Richarlison de Andrade,Brazil,326
Aymeric Laporte,Spain,318
Hidemasa Morita,Japan,317
Woo-Young Jung,South Korea,316
Timothy Weah,United States,316
Yahia Attiyat allah,Morocco,315
Memphis Depay,Netherlands,314
Ángel Fabián Di María Hernández,Argentina,308
Walker Zimmerman,United States,308
Sergino Dest,United States,306
Vinícius José Paixão de Oliveira Júnior,Brazil,304
Morteza Pouraliganji,Iran,304
Mehdi Taremi,Iran,304
Seyed Majid Hosseini,Iran,304
Cristiano Ronaldo dos Santos Aveiro,Portugal,303
Raphaël Adelino José Guerreiro,Portugal,303
Jawad El Yamiq,Morocco,300
Daniel Amartey,Ghana,300
Thomas Teye Partey,Ghana,300
Lawrence Ati-Zigi,Ghana,300
Mohamed Salisu,Ghana,300
José María Giménez de Vargas,Uruguay,297
Federico Santiago Valverde Dipetta,Uruguay,297
Sergio Rochet Álvarez,Uruguay,297
Salem Mohammed Al Dawsari,Saudi Arabia,297
Mohammed Kanoo,Saudi Arabia,297
Mohammed Khalil Al Owais,Saudi Arabia,297
Saud Abdullah Abdul Hamid,Saudi Arabia,297
Chris Mepham,Wales,296
Joe Rodon,Wales,296
Ellyes Joris Skhiri,Tunisia,295
Yassine Meriah,Tunisia,295
Montassar Omar Talbi,Tunisia,295
Aymen Dahmen,Tunisia,295
Gue-Sung Cho,South Korea,295
Mario Pašalić,Croatia,295
Ismail Jakobs,Senegal,294
Keylor Navas Gamboa,Costa Rica,294
Óscar Esau Duarte Gaitán,Costa Rica,294
Nikola Milenković,Serbia,293
Vanja Milinković Savić,Serbia,293
Danilo Luiz da Silva,Brazil,293
Nampalys Mendy,Senegal,293
Antonio Rüdiger,Germany,293
Manuel Neuer,Germany,293
Joshua Kimmich,Germany,293
Idrissa Gana Gueye,Senegal,292
Pablo Martín Páez Gavira,Spain,292
Nouhou Tolo,Cameroon,292
Ngoran Suiru Fai Collins,Cameroon,292
Joel Nathaniel Campbell Samuels,Costa Rica,292
Ko Itakura,Japan,291
Christian Dannemann Eriksen,Denmark,290
Pierre-Emile Højbjerg,Denmark,290
Kasper Schmeichel,Denmark,290
Andreas Christensen,Denmark,290
Joachim Andersen,Denmark,290
Héctor Alfredo Moreno Herrera,Mexico,290
Jesús Daniel Gallardo Vasconcelos,Mexico,290
Francisco Guillermo Ochoa Magaña,Mexico,290
César Jasib Montes Castro,Mexico,290
Luis Gerardo Chávez Magallón,Mexico,290
Bukayo Saka,England,289
Pervis Josué Estupiñán Tenorio,Ecuador,287
Felix Eduardo Torres Caicedo,Ecuador,287
Hernán Ismael Galíndez,Ecuador,287
Piero Martín Hincapié Reyna,Ecuador,287
Akram Hassan Afif,Qatar,287
Boualem Khoukhi,Qatar,287
Abdelkarim Hassan Al Haj Fadlalla,Qatar,287
Niklas Süle,Germany,286
Yeltsin Ignacio Tejeda Valverde,Costa Rica,286
Yann Sommer,Switzerland,285
Ruben Vargas,Switzerland,284
Neymar da Silva Santos Junior,Brazil,284
Steven de Sousa Vitoria,Canada,284
Alphonso Davies,Canada,284
Milan Borjan,Canada,284
Kamal Miller,Canada,284
Alistair Johnston,Canada,284
Jan Vertonghen,Belgium,283
Kevin De Bruyne,Belgium,283
Thibaut Courtois,Belgium,283
Axel Witsel,Belgium,283
Timothy Castagne,Belgium,283
