match_id,defender_id,defender_name,passes_against_on_field
3849,4622,Kingsley Coman,281
3849,4758,Ellyes Skhiri,633
3849,5097,Ibrahima Konaté,337
3849,8054,Adrien Rabiot,56
3849,9598,Ali Abdi,131
3849,9824,Montassar Talbi,633
3848,11854,Alexander Bah,139
3848,12022,Andreas Cornelius,69
3848,12779,Mikkel Damsgaard,101
3848,13815,Mathew Leckie,636
3848,13817,Jamie Maclaren,96
3848,13819,Mitchell Duke,585
3848,13820,Aziz Behich,681
3848,13821,Keanu Baccus,338
3848,13823,Craig Goodwin,343
3848,13824,Kye Rowles,681
3848,1536,Martin Braithwaite,224
3848,200,Kasper Schmeichel,325
3848,2073,Joachim Andersen,325
3848,395,Pierre-Emile Höjbjerg,325
3848,4053,Kasper Dolberg,101
3848,435,Mathew Ryan,681
3848,449,Aaron Mooy,681
3848,4737,Jesper Lindström,325
3848,4739,Ajdin Hrustic,45
3848,4882,Robert Skov,69
3848,5063,Mathias Jensen,224
3848,6967,Riley McGree,527
3848,7443,Christian Eriksen,325
3848,7478,Milos Degenek,681
3848,8099,Rasmus Kristensen,186
3848,8257,Harry Souttar,681
3848,8324,Joakim Maehle,256
3848,8854,Jackson Irvine,681
3848,9089,Andreas Skov Olsen,256
3848,92,Andreas Christensen,325
3848,9290,Bailey Wright,154
3847,1067,Brenden Aaronson,274
3847,107,Christian Pulisic,201
3847,12183,Haji Wright,155
3847,12222,Majid Hosseini,492
3847,12235,Ali Karimi,214
3847,13121,Yunus Musah,475
3847,1334,Weston McKennie,282
3847,1336,Timothy Weah,349
3847,1339,Tyler Adams,475
3847,1340,Shaq Moore,126
3847,13968,Alireza Beiranvand,492
3847,13971,Ehsan Hajsafi,428
3847,13972,Abolfazl Jalali,64
3847,13975,Milad Mohammadi,278
3847,13977,Morteza Pouraliganji,492
3847,13978,Ramin Rezaeian,492
3847,13980,Saeid Ezatolahi,492
3847,13981,Ali Gholizadeh,453
3847,13982,Ahmad Nourollahi,428
3847,13983,Mehdi Torabi,64
3847,13984,Karim Ansarifard,39
3847,1971,Tim Ream,475
3847,1973,Antonee Robinson,475
3847,5070,Saman Ghoddos,185
3847,5135,Josh Sargent,320
3847,687,Kellyn Acosta,193
3847,70,Cameron Carter-Vickers,475
3847,7441,Sardar Azmoun,307
3847,8343,Sergiño Dest,349
3847,8561,Mehdi Taremi,492
3847,916,Walker Zimmerman,126
3847,940,Matt Turner,475
3846,1,Harry Kane,176
3846,10,John Stones,338
3846,10039,Joe Morrell,178
3846,118,Harry Maguire,338
3846,123,Luke Shaw,203
3846,136,Marcus Rashford,278
3846,137,Daniel James,485
3846,1377,Kieran Trippier,135
3846,16,Kyle Walker,176
3846,169,Jordan Pickford,338
3846,1698,Gareth Bale,373
3846,1931,Ethan Ampadu,608
3846,2005,Kalvin Phillips,162
3846,201,Danny Ward,608
3846,2083,Joe Rodon,608
3846,21,Phil Foden,338
3846,265,Declan Rice,176
3846,286,Chris Mepham,608
3846,308,Harry Wilson,123
3846,311,Callum Wilson,162
3846,371,Jack Grealish,60
3846,42,Trent Alexander-Arnold,162
3846,4677,Jude Bellingham,338
3846,47,Jordan Henderson,338
3846,589,Neco Williams,286
3846,6018,Connor Roberts,322
3846,6935,Joe Allen,491
3846,7008,Brennan Johnson,235
3846,71,Ben Davies,430
3846,7955,Rubin Colwill,117
3846,7966,Kieffer Moore,608
3846,8062,Aaron Ramsey,608
3845,11094,Cody Gakpo,384
3845,11241,Andries Noppert,437
3845,13942,Meshaal Barsham,800
3845,13944,Abdelkarim Hassan,800
3845,13945,Boualem Khoukhi,800
3845,13946,Pedro Miguel,800
3845,13947,Ismaeel Mohammed,709
3845,13950,Musab Khoder,91
3845,13951,Homam Ahmed,800
3845,13953,Karim Boudiaf,253
3845,13954,Abdulaziz Hatem,709
3845,13955,Ali Asad,253
3845,13956,Assim Madibo,547
3845,13960,Hasan Al-Haydos,547
3845,13961,Akram Afif,800
3845,13962,Almoez Ali,547
3845,13963,Mohammed Muntari,253
3845,13964,Ahmed Alaaeldin,91
3845,1522,Frenkie de Jong,399
3845,284,Nathan Aké,437
3845,3315,Vincent Janssen,171
3845,37,Virgil van Dijk,437
3845,5009,Wout Weghorst,53
