player,Nodes Degree_xt,Closeness_xt,Pagerank_xt,Betweenness_xt,Nodes Degree_base,Closeness_base,Pagerank_base,Betweenness_base,match_id,team,player_match_id,Sofascore Rating
Nathan Aké,7.528275775,0.113719616,0.038578027,0.007526882,186,2.075850934,0.05554818,0.046236559,3857294,Netherlands,Nathan Aké_3857294,6.9
Luis Gerardo Chávez Magallón,7.518909275,0.120946419,0.052490034,0.037931034,78,1.162232021,0.063875973,0.070114943,3857260,Mexico,Luis Chávez_3857260,8.3
Salem Mohammed Al Dawsari,7.51522408,0.13243045,0.045187371,0.026455026,130,1.618660247,0.071239894,0.060846561,3857297,Saudi Arabia,Salem Al-Dawsari_3857297,6.8
Young-Gwon Kim,7.512279167,0.120098246,0.037172093,0.008045977,107,1.570815227,0.046884114,0.05210728,3869253,South Korea,Young-Gwon Kim_3869253,6.6
Casimiro,7.511111957,0.130243341,0.048901973,0.02183908,126,1.638218429,0.054852295,0.082758621,3869253,Brazil,Casemiro_3869253,7.2
John Stones,7.505867889,0.104202913,0.03572584,0.008064516,230,1.934518372,0.065483633,0.053427419,3857271,England,John Stones_3857271,6.6
Axel Witsel,7.500726941,0.123640374,0.050261145,0.026436782,77,1.236377042,0.043044379,0.046360153,3857268,Belgium,Axel Witsel_3857268,7.2
Enzo Fernandez,7.49369027,0.122845795,0.052470479,0.024731183,180,1.737477429,0.064426931,0.055376344,3869151,Argentina,Enzo Fernández_3869151,6.8
Remo Freuler,7.487279937,0.125523741,0.046989452,0.016091954,113,1.305330571,0.058324201,0.086206897,3857290,Switzerland,Remo Freuler_3857290,6.8
Rodri,7.4849667,0.114951891,0.03638456,0.007526882,264,3.011283325,0.055122341,0.076344086,3857291,Spain,Rodri_3857291,7.2
Alphonso Davies,7.476825182,0.143224744,0.048769767,0.019354839,69,1.345866268,0.046739491,0.027168459,3857281,Canada,Alphonso Davies_3857281,6.6
Luke Shaw,7.476481758,0.116575378,0.039956836,0.016129032,202,2.181207582,0.059798843,0.097782258,3857271,England,Luke Shaw_3857271,6.9
Joachim Andersen,7.470635147,0.110413306,0.032793283,0.010344828,195,1.983330736,0.070198392,0.124137931,3857257,Denmark,Joachim Andersen_3857257,6.6
Luka Modrić,7.446376135,0.119446755,0.050742669,0.00862069,151,1.128363521,0.065240306,0.062192118,3857277,Croatia,Luka Modrić_3857277,7.1
Lionel Andrés Messi Cuccittini,7.443576561,0.119621781,0.044627937,0.029356061,109,1.387781849,0.053062114,0.017518939,3869685,Argentina,Lionel Messi_3869685,9.2
Adrien Rabiot,7.438790125,0.132298047,0.041865872,0.002298851,122,1.853700087,0.041126067,0.009195402,3857279,France,Adrien Rabiot_3857279,8.5
Daniel Alves da Silva,7.43526906,0.124729124,0.03846849,0.016009852,127,1.651002686,0.055027314,0.086001642,3857280,Brazil,Dani Alves_3857280,6.9
Raphaël Adelino José Guerreiro,7.433521083,0.126516582,0.045068888,0.033333333,74,0.975327819,0.038642681,0.062903226,3869254,Portugal,Raphaël Guerreiro_3869254,8.2
Daley Blind,7.429617863,0.121563501,0.041277038,0.015053763,198,2.003919413,0.061582551,0.070967742,3857294,Netherlands,Daley Blind_3857294,7.1
In-Beom Hwang,7.425463259,0.121171412,0.043053715,0.006157635,157,2.106073396,0.071501298,0.101600985,3857299,South Korea,In-Beom Hwang_3857299,6.5
William Silva de Carvalho,7.420375515,0.11906884,0.039264218,0.007526882,107,1.166549052,0.060400875,0.066666667,3869254,Portugal,William Carvalho_3869254,6.6
In-Beom Hwang,7.412049967,0.137009414,0.055132984,0.023809524,94,1.249234675,0.064503335,0.062169312,3857287,South Korea,In-Beom Hwang_3857287,6.8
Joachim Andersen,7.410733856,0.114483713,0.044669562,0.014942529,120,1.649203646,0.047410346,0.037931034,3857254,Denmark,Joachim Andersen_3857254,7.1
Thiago Emiliano da Silva,7.409819733,0.111473883,0.035083023,0.017204301,153,1.335622245,0.061081549,0.022580645,3857269,Brazil,Thiago Silva_3857269,7.2
Hidemasa Morita,7.405428715,0.12601959,0.045186462,0.012315271,120,1.536206897,0.059916219,0.052955665,3857295,Japan,Hidemasa Morita_3857295,6.7
Dejan Lovren,7.394705114,0.113600415,0.036776135,0.008602151,134,1.751733056,0.051042626,0.030107527,3869519,Croatia,Dejan Lovren_3869519,6.6
Boualem Khoukhi,7.358294743,0.117775317,0.042535808,0.011827957,90,1.371505427,0.052288085,0.035483871,3857294,Qatar,B. Khoukhi_3857294,6.7
Granit Xhaka,7.35523043,0.126101819,0.046674258,0.022988506,79,1.2,0.046083573,0.027586207,3857290,Switzerland,Granit Xhaka_3857290,7
Casimiro,7.351131612,0.124781388,0.047947917,0.01827957,75,1.106874923,0.037987468,0.008602151,3857269,Brazil,Casemiro_3857269,7.8
Stephen Antunes Eustáquio,7.349284867,0.124954366,0.044011222,0.011494253,113,1.441977569,0.067352692,0.098850575,3857268,Canada,Stephen Eustaquio_3857268,7.1
Sergio Busquets i Burgos,7.339877436,0.120031612,0.04428877,0.025287356,132,2.779765086,0.031461821,0,3857255,Spain,Sergio Busquets_3857255,6.7
